date,total_assets,cash,market_value,daily_pnl,daily_return,cumulative_return,max_drawdown,holding_count
20260618,100000.0,37338.0,62662.0,0.0,0.0,0.0,0.0,3
20260622,102382.0,13616.0,88766.0,2382.0,2.38,2.38,0.0,6
