date,code,name,side,price,shares,amount,cash_after,pnl,pnl_pct,reason
20260618,688525,佰维存储,BUY,386.2,100,38620.0,61380.0,0.0,0.0,趋势核心池排名靠前，模拟买入
20260618,600522,中天科技,BUY,56.55,100,5655.0,55725.0,0.0,0.0,趋势核心池排名靠前，模拟买入
20260618,600183,生益科技,BUY,183.87,100,18387.0,37338.0,0.0,0.0,趋势核心池排名靠前，模拟买入
20260622,600105,永鼎股份,BUY,63.7,100,6370.0,30968.0,0.0,0.0,趋势核心池排名靠前，模拟买入
20260622,600362,江西铜业,BUY,54.86,100,5486.0,25482.0,0.0,0.0,趋势核心池排名靠前，模拟买入
20260622,600259,中稀有色,BUY,118.66,100,11866.0,13616.0,0.0,0.0,趋势核心池排名靠前，模拟买入
