date,stock_code,action,position_ratio,score,cycle,reason
20260625,600226,SKIP,0.0,78.61,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688548,SKIP,0.0,78.6,退潮期,market_cycle=退潮；cycle进入退潮
20260625,301366,SKIP,0.0,78.58,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600206,SKIP,0.0,78.4,退潮期,market_cycle=退潮；cycle进入退潮
20260625,603757,SKIP,0.0,78.26,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688630,SKIP,0.0,78.19,退潮期,market_cycle=退潮；cycle进入退潮
20260625,000050,SKIP,0.0,78.02,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600869,SKIP,0.0,77.97,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600498,SKIP,0.0,77.9,退潮期,market_cycle=退潮；cycle进入退潮
20260625,603588,SKIP,0.0,77.89,退潮期,market_cycle=退潮；cycle进入退潮
20260625,603663,SKIP,0.0,77.76,退潮期,market_cycle=退潮；cycle进入退潮
20260625,603186,SKIP,0.0,77.63,退潮期,market_cycle=退潮；cycle进入退潮
20260625,001339,SKIP,0.0,77.63,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600888,SKIP,0.0,77.47,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688268,SKIP,0.0,77.44,退潮期,market_cycle=退潮；cycle进入退潮
20260625,000657,SKIP,0.0,76.77,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300489,SKIP,0.0,76.57,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300005,SKIP,0.0,76.54,退潮期,market_cycle=退潮；cycle进入退潮
20260625,601872,SKIP,0.0,76.1,退潮期,market_cycle=退潮；cycle进入退潮
20260625,301123,SKIP,0.0,76.05,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600378,SKIP,0.0,75.89,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300497,SKIP,0.0,75.88,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688141,SKIP,0.0,75.86,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688090,SKIP,0.0,75.41,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688233,SKIP,0.0,75.26,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300420,SKIP,0.0,74.92,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688530,SKIP,0.0,74.34,退潮期,market_cycle=退潮；cycle进入退潮
20260625,301377,SKIP,0.0,73.23,退潮期,market_cycle=退潮；cycle进入退潮
