buy_date,sell_date,code,name,buy_price,sell_price,shares,pnl,pnl_pct,holding_days
20260525,20260527,002407,多氟多,38.43,35.79,100,-264.0,-6.87,2
20260525,20260527,601975,招商南油,5.55,5.0,100,-55.0,-9.91,2
20260525,20260528,600246,万通发展,15.5,16.81,100,131.0,8.45,3
20260525,20260528,300503,昊志机电,88.1,78.61,100,-949.0,-10.77,3
20260526,20260528,002484,江海股份,61.45,74.07,100,1262.0,20.54,2
20260519,20260529,002938,鹏鼎控股,94.12,105.01,100,1089.0,11.57,8
20260522,20260529,603459,红板科技,105.61,101.89,100,-372.0,-3.52,5
20260525,20260529,002747,埃斯顿,28.61,27.72,100,-89.0,-3.11,4
20260528,20260601,002617,露笑科技,10.26,9.21,100,-105.0,-10.23,2
20260520,20260602,000021,深科技,37.85,37.18,100,-67.0,-1.77,9
20260526,20260602,000725,京东方Ａ,5.77,5.47,100,-30.0,-5.2,5
20260526,20260602,601208,东材科技,53.3,51.35,100,-195.0,-3.66,5
20260528,20260602,300274,阳光电源,190.09,172.7,100,-1739.0,-9.15,3
20260529,20260602,605358,立昂微,55.38,53.84,100,-154.0,-2.78,2
20260519,20260603,603629,利通电子,174.3,207.88,100,3358.0,19.27,11
20260528,20260603,300433,蓝思科技,40.23,44.39,100,416.0,10.34,4
20260601,20260604,603678,火炬电子,53.28,64.55,100,1127.0,21.15,3
20260602,20260605,301511,德福科技,127.02,119.5,100,-752.0,-5.92,3
20260603,20260608,605376,博迁新材,190.05,173.0,100,-1705.0,-8.97,3
20260604,20260608,601138,工业富联,78.55,70.48,100,-807.0,-10.27,2
20260513,20260609,600183,生益科技,94.18,147.47,100,5329.0,56.58,19
20260522,20260609,300408,三环集团,115.0,141.02,100,2602.0,22.63,12
20260601,20260609,300394,天孚通信,428.88,443.92,100,1504.0,3.51,6
20260603,20260609,300179,四方达,51.3,44.8,100,-650.0,-12.67,4
20260605,20260609,600396,华电辽能,20.01,21.23,100,122.0,6.1,2
20260608,20260610,300975,商络电子,41.6,39.78,100,-182.0,-4.37,2
20260602,20260612,002484,江海股份,83.46,81.25,100,-221.0,-2.65,8
