date,code,name,momentum_score,trend_score,combined_score,is_leader,leader_rank,leader_strength_score,breakout_strength,continuation_score,acceleration_score,pool_type,risk_level,risk_reason,money_continuation_score,master_score,leader_tier,final_decision,previous_combined_score,score_change
20260625,688525,佰维存储,89.35,92.15,91.03,True,1.0,87.49,100.0,46.1,50.3,A类：龙头进攻池,2.75,未触发主要风险,47.36,83.93,T1（核心龙头）,趋势持有标的,89.1,1.9300000000000068
20260625,603986,兆易创新,86.22,91.99,89.68,True,2.0,87.28,100.0,41.2,62.9,A类：龙头进攻池,2.8,未触发主要风险,47.71,83.13,T1（核心龙头）,趋势持有标的,92.12,-2.4399999999999977
20260625,600522,中天科技,88.05,92.94,90.98,True,3.0,86.62,100.0,43.3,44.7,A类：龙头进攻池,2.47,未触发主要风险,43.72,83.12,T1（核心龙头）,淘汰标的,90.17,0.8100000000000023
