date,stock_code,action,position_ratio,score,cycle,reason
20260625,000021,SKIP,0.0,86.17,退潮期,market_cycle=退潮；cycle进入退潮
20260625,000725,SKIP,0.0,86.05,退潮期,market_cycle=退潮；cycle进入退潮
20260625,603005,SKIP,0.0,84.96,退潮期,market_cycle=退潮；cycle进入退潮
20260625,301308,SKIP,0.0,84.65,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600584,SKIP,0.0,84.59,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300398,SKIP,0.0,84.49,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002371,SKIP,0.0,84.21,退潮期,market_cycle=退潮；cycle进入退潮
20260625,001309,SKIP,0.0,84.2,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688525,SKIP,0.0,83.93,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688072,SKIP,0.0,83.61,退潮期,market_cycle=退潮；cycle进入退潮
20260625,301013,SKIP,0.0,83.52,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688048,SKIP,0.0,83.36,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600105,SKIP,0.0,83.34,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002384,SKIP,0.0,83.31,退潮期,market_cycle=退潮；cycle进入退潮
20260625,603986,SKIP,0.0,83.13,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600522,SKIP,0.0,83.12,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600487,SKIP,0.0,83.0,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300604,SKIP,0.0,82.99,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600246,SKIP,0.0,82.92,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688507,SKIP,0.0,82.87,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688347,SKIP,0.0,82.81,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688498,SKIP,0.0,82.74,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688521,SKIP,0.0,82.62,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688110,SKIP,0.0,82.6,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300567,SKIP,0.0,82.56,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002536,SKIP,0.0,82.27,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688396,SKIP,0.0,82.24,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600703,SKIP,0.0,82.22,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300042,SKIP,0.0,82.1,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002008,SKIP,0.0,81.85,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002428,SKIP,0.0,81.66,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300174,SKIP,0.0,81.6,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002407,SKIP,0.0,81.25,退潮期,market_cycle=退潮；cycle进入退潮
20260625,603083,SKIP,0.0,81.23,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300346,SKIP,0.0,81.1,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002409,SKIP,0.0,81.07,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688313,SKIP,0.0,81.04,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002491,SKIP,0.0,80.89,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688037,SKIP,0.0,80.84,退潮期,market_cycle=退潮；cycle进入退潮
20260625,603650,SKIP,0.0,80.65,退潮期,market_cycle=退潮；cycle进入退潮
20260625,000783,SKIP,0.0,80.44,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300835,SKIP,0.0,80.37,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002046,SKIP,0.0,80.22,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002080,SKIP,0.0,80.14,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300857,SKIP,0.0,80.14,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688548,SKIP,0.0,80.12,退潮期,market_cycle=退潮；cycle进入退潮
20260625,601869,SKIP,0.0,80.01,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002436,SKIP,0.0,80.0,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300806,SKIP,0.0,79.78,退潮期,market_cycle=退潮；cycle进入退潮
20260625,000636,SKIP,0.0,79.73,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300285,SKIP,0.0,79.72,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688268,SKIP,0.0,79.68,退潮期,market_cycle=退潮；cycle进入退潮
20260625,003031,SKIP,0.0,79.56,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300077,SKIP,0.0,79.51,退潮期,market_cycle=退潮；cycle进入退潮
20260625,603618,SKIP,0.0,79.42,退潮期,market_cycle=退潮；cycle进入退潮
20260625,301200,SKIP,0.0,79.3,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300302,SKIP,0.0,79.26,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600497,SKIP,0.0,79.21,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002654,SKIP,0.0,79.18,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600460,SKIP,0.0,79.16,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300747,SKIP,0.0,79.13,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300475,SKIP,0.0,79.12,退潮期,market_cycle=退潮；cycle进入退潮
20260625,603738,SKIP,0.0,79.08,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600176,SKIP,0.0,78.82,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688172,SKIP,0.0,78.5,退潮期,market_cycle=退潮；cycle进入退潮
20260625,301458,SKIP,0.0,78.46,退潮期,market_cycle=退潮；cycle进入退潮
20260625,605376,SKIP,0.0,78.33,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688361,SKIP,0.0,78.33,退潮期,market_cycle=退潮；cycle进入退潮
20260625,000962,SKIP,0.0,78.25,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688409,SKIP,0.0,78.19,退潮期,market_cycle=退潮；cycle进入退潮
20260625,301526,SKIP,0.0,78.13,退潮期,market_cycle=退潮；cycle进入退潮
20260625,301319,SKIP,0.0,78.09,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002821,SKIP,0.0,78.09,退潮期,market_cycle=退潮；cycle进入退潮
20260625,603256,SKIP,0.0,77.96,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688082,SKIP,0.0,77.96,退潮期,market_cycle=退潮；cycle进入退潮
20260625,301611,SKIP,0.0,77.93,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300666,SKIP,0.0,77.76,退潮期,market_cycle=退潮；cycle进入退潮
20260625,003018,SKIP,0.0,77.71,退潮期,market_cycle=退潮；cycle进入退潮
20260625,000657,SKIP,0.0,77.61,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600869,SKIP,0.0,77.55,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600378,SKIP,0.0,77.44,退潮期,market_cycle=退潮；cycle进入退潮
20260625,603938,SKIP,0.0,77.36,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300489,SKIP,0.0,77.29,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688143,SKIP,0.0,77.22,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600141,SKIP,0.0,77.1,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688249,SKIP,0.0,77.08,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688627,SKIP,0.0,77.06,退潮期,market_cycle=退潮；cycle进入退潮
20260625,603588,SKIP,0.0,77.05,退潮期,market_cycle=退潮；cycle进入退潮
20260625,301123,SKIP,0.0,76.96,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688380,SKIP,0.0,76.9,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600226,SKIP,0.0,76.79,退潮期,market_cycle=退潮；cycle进入退潮
20260625,601872,SKIP,0.0,76.79,退潮期,market_cycle=退潮；cycle进入退潮
20260625,603186,SKIP,0.0,76.63,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688630,SKIP,0.0,76.55,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300903,SKIP,0.0,76.11,退潮期,market_cycle=退潮；cycle进入退潮
20260625,002297,SKIP,0.0,75.67,退潮期,market_cycle=退潮；cycle进入退潮
20260625,600888,SKIP,0.0,75.06,退潮期,market_cycle=退潮；cycle进入退潮
20260625,688233,SKIP,0.0,74.36,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300005,SKIP,0.0,73.96,退潮期,market_cycle=退潮；cycle进入退潮
20260625,300671,SKIP,0.0,73.96,退潮期,market_cycle=退潮；cycle进入退潮
