date,stock_code,name,position_ratio,position_type,order_priority,reason
20260625,000021,深科技,0.0,zero,2,market_cycle=退潮；cycle进入退潮
20260625,000725,京东方Ａ,0.0,zero,2,market_cycle=退潮；cycle进入退潮
20260625,603005,晶方科技,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,301308,江波龙,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,600584,长电科技,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,300398,飞凯材料,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,002371,北方华创,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,001309,德明利,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,688525,佰维存储,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,688072,拓荆科技,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,301013,利和兴,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,688048,长光华芯,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,600105,永鼎股份,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,002384,东山精密,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,603986,兆易创新,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,600522,中天科技,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,600487,亨通光电,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,300604,长川科技,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,600246,万通发展,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,688507,索辰科技,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,688347,华虹宏力,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,688498,源杰科技,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,688521,芯原股份,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,688110,东芯股份,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,300567,精测电子,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,002536,飞龙股份,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,688396,XD华润微,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,600703,三安光电,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,300042,朗科科技,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,002008,大族激光,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,002428,云南锗业,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,300174,元力股份,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,002407,多氟多,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,603083,剑桥科技,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,300346,南大光电,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,002409,雅克科技,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,688313,仕佳光子,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,002491,通鼎互联,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,688037,芯源微,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,603650,彤程新材,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,000783,长江证券,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,300835,龙磁科技,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,002046,国机精工,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,002080,中材科技,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,300857,协创数据,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,688548,广钢气体,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,601869,长飞光纤,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,002436,兴森科技,0.0,zero,3,market_cycle=退潮；cycle进入退潮
20260625,300806,斯迪克,0.0,zero,4,market_cycle=退潮；cycle进入退潮
20260625,000636,风华高科,0.0,zero,4,market_cycle=退潮；cycle进入退潮
20260625,300285,国瓷材料,0.0,zero,4,market_cycle=退潮；cycle进入退潮
20260625,688268,华特气体,0.0,zero,4,market_cycle=退潮；cycle进入退潮
20260625,003031,中瓷电子,0.0,zero,4,market_cycle=退潮；cycle进入退潮
20260625,300077,国民技术,0.0,zero,4,market_cycle=退潮；cycle进入退潮
20260625,603618,杭电股份,0.0,zero,4,market_cycle=退潮；cycle进入退潮
20260625,301200,大族数控,0.0,zero,4,market_cycle=退潮；cycle进入退潮
20260625,300302,同有科技,0.0,zero,4,market_cycle=退潮；cycle进入退潮
20260625,600497,驰宏锌锗,0.0,zero,4,market_cycle=退潮；cycle进入退潮
20260625,002654,万润科技,0.0,zero,4,market_cycle=退潮；cycle进入退潮
20260625,600460,士兰微,0.0,zero,4,market_cycle=退潮；cycle进入退潮
20260625,300747,锐科激光,0.0,zero,4,market_cycle=退潮；cycle进入退潮
20260625,300475,香农芯创,0.0,zero,4,market_cycle=退潮；cycle进入退潮
20260625,603738,泰晶科技,0.0,zero,4,market_cycle=退潮；cycle进入退潮
20260625,600176,中国巨石,0.0,zero,4,market_cycle=退潮；cycle进入退潮
20260625,688172,燕东微,0.0,zero,4,market_cycle=退潮；cycle进入退潮
