date,score_bucket,count,mean,variance,std,min,max
20260625,30-40,0,80.79,17.43,4.17,75.16,93.68
20260625,40-50,0,80.79,17.43,4.17,75.16,93.68
20260625,50-60,0,80.79,17.43,4.17,75.16,93.68
20260625,60-70,0,80.79,17.43,4.17,75.16,93.68
20260625,70-80,51,80.79,17.43,4.17,75.16,93.68
20260625,80-90,46,80.79,17.43,4.17,75.16,93.68
20260625,90-100,3,80.79,17.43,4.17,75.16,93.68
