date,stock_code,action,position_ratio,score,cycle,reason
20260622,688126,SKIP,0.0,86.2,主升期,continuation下降
20260622,300037,SKIP,0.0,86.2,主升期,continuation下降
20260622,002281,SKIP,0.0,85.56,主升期,continuation下降
20260622,300398,SKIP,0.0,85.42,主升期,continuation下降
20260622,600105,SKIP,0.0,85.28,主升期,continuation下降
20260622,002384,SKIP,0.0,85.22,主升期,continuation下降
20260622,688525,SKIP,0.0,85.02,主升期,continuation下降
20260622,603688,SKIP,0.0,84.74,主升期,continuation下降
20260622,002916,SKIP,0.0,84.66,主升期,continuation下降
20260622,600522,SKIP,0.0,84.37,主升期,continuation下降
20260622,300308,SKIP,0.0,84.25,主升期,continuation下降
20260622,300346,SKIP,0.0,84.13,主升期,continuation下降
20260622,000021,SKIP,0.0,83.58,主升期,continuation下降
20260622,688396,SKIP,0.0,83.47,主升期,continuation下降
20260622,300408,SKIP,0.0,83.45,主升期,continuation下降
20260622,300548,SKIP,0.0,83.07,主升期,continuation下降
20260622,601869,SKIP,0.0,83.07,主升期,continuation下降
20260622,300223,SKIP,0.0,83.04,主升期,continuation下降
20260622,688808,SKIP,0.0,82.71,主升期,continuation下降
20260622,002428,SKIP,0.0,82.55,主升期,continuation下降
20260622,601208,SKIP,0.0,82.49,主升期,continuation下降
20260622,300174,SKIP,0.0,82.49,主升期,continuation下降
20260622,688347,SKIP,0.0,82.47,主升期,continuation下降
20260622,600487,SKIP,0.0,82.13,主升期,continuation下降
20260622,688498,SKIP,0.0,82.03,主升期,continuation下降
20260622,000831,SKIP,0.0,82.0,主升期,continuation下降
20260622,688072,SKIP,0.0,81.89,主升期,continuation下降
20260622,300373,SKIP,0.0,81.69,主升期,continuation下降
20260622,002353,SKIP,0.0,81.6,主升期,continuation下降
20260622,301013,SKIP,0.0,81.58,主升期,continuation下降
20260622,300661,SKIP,0.0,81.55,主升期,continuation下降
20260622,300576,SKIP,0.0,81.47,主升期,continuation下降
20260622,002747,SKIP,0.0,81.33,主升期,continuation下降
20260622,600186,SKIP,0.0,81.26,主升期,continuation下降
20260622,000823,SKIP,0.0,81.26,主升期,continuation下降
20260622,300821,SKIP,0.0,81.22,主升期,continuation下降
20260622,600596,SKIP,0.0,81.17,主升期,continuation下降
20260622,600183,SKIP,0.0,81.04,主升期,continuation下降
20260622,600259,SKIP,0.0,80.93,主升期,continuation下降
20260622,300260,SKIP,0.0,80.88,主升期,continuation下降
20260622,603256,SKIP,0.0,80.8,主升期,continuation下降
20260622,002046,SKIP,0.0,80.66,主升期,continuation下降
20260622,600498,SKIP,0.0,80.66,主升期,continuation下降
20260622,300747,SKIP,0.0,80.6,主升期,continuation下降
20260622,002409,SKIP,0.0,80.5,主升期,continuation下降
20260622,603738,SKIP,0.0,80.39,主升期,continuation下降
20260622,688777,SKIP,0.0,80.38,主升期,continuation下降
20260622,688507,SKIP,0.0,80.34,主升期,continuation下降
20260622,002645,SKIP,0.0,80.34,主升期,continuation下降
20260622,600392,SKIP,0.0,80.31,主升期,continuation下降
20260622,002138,SKIP,0.0,80.17,主升期,continuation下降
20260622,603773,SKIP,0.0,80.16,主升期,continuation下降
20260622,002051,SKIP,0.0,80.15,主升期,continuation下降
20260622,301200,SKIP,0.0,80.11,主升期,continuation下降
20260622,300814,SKIP,0.0,80.05,主升期,continuation下降
20260622,688052,SKIP,0.0,80.0,主升期,continuation下降
20260622,688143,SKIP,0.0,79.99,主升期,continuation下降
20260622,001339,SKIP,0.0,79.95,主升期,continuation下降
20260622,300054,SKIP,0.0,79.91,主升期,continuation下降
20260622,000636,SKIP,0.0,79.9,主升期,continuation下降
20260622,600909,SKIP,0.0,79.89,主升期,continuation下降
20260622,301511,SKIP,0.0,79.75,主升期,continuation下降
20260622,600160,SKIP,0.0,79.74,主升期,continuation下降
20260622,600641,SKIP,0.0,79.71,主升期,continuation下降
20260622,603663,SKIP,0.0,79.65,主升期,continuation下降
20260622,600552,SKIP,0.0,79.65,主升期,continuation下降
20260622,003031,SKIP,0.0,79.53,主升期,continuation下降
20260622,688548,SKIP,0.0,79.35,主升期,continuation下降
20260622,605589,SKIP,0.0,79.33,主升期,continuation下降
20260622,002171,SKIP,0.0,79.24,主升期,continuation下降
20260622,600459,SKIP,0.0,79.19,主升期,continuation下降
20260622,600345,SKIP,0.0,79.05,主升期,continuation下降
20260622,300196,SKIP,0.0,79.03,主升期,continuation下降
20260622,688630,SKIP,0.0,78.91,主升期,continuation下降
20260622,688403,SKIP,0.0,78.82,主升期,continuation下降
20260622,605111,SKIP,0.0,78.69,主升期,continuation下降
20260622,001257,SKIP,0.0,78.25,主升期,continuation下降
20260622,601636,SKIP,0.0,78.17,主升期,continuation下降
20260622,002842,SKIP,0.0,78.0,主升期,continuation下降
20260622,603936,SKIP,0.0,77.98,主升期,continuation下降
20260622,301188,SKIP,0.0,77.85,主升期,continuation下降
20260622,600869,SKIP,0.0,77.73,主升期,continuation下降
20260622,600888,SKIP,0.0,77.64,主升期,continuation下降
