date,stock_code,action,position_size,trigger_reason,cycle_state,master_score
20260625,301200,SKIP,zero,退潮周期，强制SKIP,退潮期,79.3
20260625,300346,SKIP,zero,退潮周期，强制SKIP,退潮期,81.1
20260625,605376,SKIP,zero,退潮周期，强制SKIP,退潮期,78.33
20260625,003018,SKIP,zero,退潮周期，强制SKIP,退潮期,77.71
20260625,002297,SKIP,zero,退潮周期，强制SKIP,退潮期,75.67
20260625,688172,SKIP,zero,退潮周期，强制SKIP,退潮期,78.5
20260625,600378,SKIP,zero,退潮周期，强制SKIP,退潮期,77.44
20260625,300005,SKIP,zero,退潮周期，强制SKIP,退潮期,73.96
20260625,002821,SKIP,zero,退潮周期，强制SKIP,退潮期,78.09
20260625,601872,SKIP,zero,退潮周期，强制SKIP,退潮期,76.79
20260625,603938,SKIP,zero,退潮周期，强制SKIP,退潮期,77.36
20260625,300302,SKIP,zero,退潮周期，强制SKIP,退潮期,79.26
20260625,688380,SKIP,zero,退潮周期，强制SKIP,退潮期,76.9
20260625,600888,SKIP,zero,退潮周期，强制SKIP,退潮期,75.06
20260625,300671,SKIP,zero,退潮周期，强制SKIP,退潮期,73.96
