date,stock_code,name,original_action,aligned_action,signal_filled_probability,signal_quality_score,entry_price_slippage,adjusted_entry_price,signal_decay_score,slippage_risk,risk_level,market_cycle,alignment_reason
20260624,300661,圣邦股份,SKIP,SKIP,HIGH,34.35,0.8,138.26,16.99,MEDIUM,20.24,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,688052,纳芯微,SKIP,SKIP,HIGH,37.32,0.8,302.4,10.39,MEDIUM,19.53,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,688082,盛美上海,SKIP,SKIP,HIGH,40.75,0.8,403.01,2.78,MEDIUM,14.16,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,000811,冰轮环境,SKIP,SKIP,HIGH,47.0,0.3,45.1,0.0,LOW,14.16,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,002655,共达电声,SKIP,SKIP,HIGH,46.85,0.3,46.93,0.34,LOW,14.16,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,605111,新洁能,SKIP,SKIP,HIGH,43.79,0.3,80.15,7.14,LOW,21.61,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,603738,泰晶科技,SKIP,SKIP,HIGH,43.16,0.3,63.44,8.53,LOW,20.46,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,603618,杭电股份,SKIP,SKIP,HIGH,43.08,0.3,52.97,8.72,LOW,16.59,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,000776,广发证券,SKIP,SKIP,HIGH,47.0,0.3,23.39,0.0,LOW,25.26,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,688249,晶合集成,SKIP,SKIP,HIGH,47.0,0.3,55.55,0.0,LOW,21.27,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,002409,雅克科技,SKIP,SKIP,HIGH,37.13,0.3,157.79,21.93,LOW,34.38,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,603588,高能环境,SKIP,SKIP,HIGH,47.0,0.3,18.29,0.0,LOW,14.16,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,600641,先导基电,SKIP,SKIP,HIGH,40.48,0.3,36.19,14.49,LOW,21.26,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,300679,电连技术,SKIP,SKIP,HIGH,42.4,0.3,68.89,10.22,LOW,34.87,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,300497,富祥股份,SKIP,SKIP,HIGH,47.0,0.3,22.43,0.0,LOW,21.2,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,000519,中兵红箭,SKIP,SKIP,HIGH,45.11,0.3,21.98,4.2,LOW,31.2,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,002167,东方锆业,SKIP,SKIP,LOW,0.0,0.8,19.67,0.0,MEDIUM,14.16,退潮期,可成交性LOW；market_cycle=退潮；原始订单为SKIP
20260624,600869,远东股份,SKIP,SKIP,HIGH,45.62,0.3,36.19,3.07,LOW,21.22,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,300005,探路者,SKIP,SKIP,MEDIUM,27.0,0.3,19.32,0.0,LOW,23.45,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,688172,燕东微,SKIP,SKIP,HIGH,41.77,0.3,74.11,11.62,LOW,38.29,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,600226,亨通股份,SKIP,SKIP,HIGH,45.17,0.3,10.4,4.06,LOW,26.06,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,000510,新金路,SKIP,SKIP,HIGH,46.22,0.3,24.17,1.74,LOW,24.35,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,600888,新疆众和,SKIP,SKIP,HIGH,33.87,0.3,13.66,29.18,LOW,35.68,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,300489,光智科技,SKIP,SKIP,HIGH,40.18,0.8,241.07,4.04,MEDIUM,23.46,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,688106,金宏气体,SKIP,SKIP,HIGH,47.0,0.3,34.55,0.0,LOW,26.07,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,002971,和远气体,SKIP,SKIP,MEDIUM,12.02,0.3,73.22,33.3,LOW,20.38,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,301536,星宸科技,SKIP,SKIP,HIGH,45.91,0.3,112.5,2.42,LOW,25.75,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,002636,金安国纪,SKIP,SKIP,MEDIUM,1.73,0.3,108.97,56.15,LOW,33.75,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,300671,富满微,SKIP,SKIP,HIGH,42.1,0.3,63.62,10.88,LOW,36.99,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,300558,贝达药业,SKIP,SKIP,HIGH,46.69,0.3,58.53,0.68,LOW,28.98,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,301292,海科新源,SKIP,SKIP,HIGH,47.0,0.3,83.84,0.0,LOW,28.22,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,300377,赢时胜,SKIP,SKIP,HIGH,47.0,0.3,18.15,0.0,LOW,28.64,退潮期,market_cycle=退潮；原始订单为SKIP
20260624,688353,华盛锂电,SKIP,SKIP,HIGH,45.56,0.3,120.56,3.2,LOW,29.91,退潮期,market_cycle=退潮；原始订单为SKIP
