date,score_bucket,count,mean,variance,std,min,max
20260624,30-40,0,82.13,49.74,7.05,61.02,95.14
20260624,40-50,0,82.13,49.74,7.05,61.02,95.14
20260624,50-60,0,82.13,49.74,7.05,61.02,95.14
20260624,60-70,6,82.13,49.74,7.05,61.02,95.14
20260624,70-80,16,82.13,49.74,7.05,61.02,95.14
20260624,80-90,43,82.13,49.74,7.05,61.02,95.14
20260624,90-100,8,82.13,49.74,7.05,61.02,95.14
