date,code,name,momentum_score,trend_score,combined_score,reason,close,pct_chg,amount,turnover,ma5,ma10,ma20,pct_5d,pct_10d,pct_20d,distance_to_20d_high,rank
20260622,002281,光迅科技,91.25,89.61,90.59,游资:成交98.7/加速96.1/新高91.7/波换72.4; 机构:均线88.7/回撤91.7/持续85.5/稳定92.0,276.08,3.71,18498454863.0,0.09,247.95,226.99,220.69,34.69,21.31,27.89,0.0,1
20260622,688498,源杰科技,84.55,93.24,89.76,游资:成交94.1/加速82.5/新高91.7/波换66.2; 机构:均线95.8/回撤91.7/持续92.7/稳定92.3,1873.5,11.96,8657179752.0,0.04,1646.52,1539.95,1365.19,33.82,41.85,75.68,0.0,2
20260622,601208,东材科技,83.1,91.93,88.4,游资:成交91.7/加速75.8/新高91.7/波换72.4; 机构:均线93.9/回撤91.7/持续98.2/稳定83.0,79.83,6.68,6707256280.0,0.08,72.96,66.38,59.97,30.74,40.64,52.2,0.0,3
20260622,600105,永鼎股份,88.0,88.43,88.26,游资:成交94.8/加速88.7/新高91.7/波换73.1; 机构:均线83.1/回撤91.7/持续85.5/稳定94.4,63.7,2.54,9269708509.0,0.1,60.26,56.71,53.09,24.17,14.94,34.64,0.0,4
20260622,301013,利和兴,87.13,89.02,88.26,游资:成交76.1/加速95.4/新高80.9/波换97.5; 机构:均线87.4/回撤80.9/持续92.7/稳定100.0,67.88,-1.08,3042400478.0,0.24,64.07,60.31,54.77,33.44,20.72,58.45,1.09,5
20260622,603773,沃格光电,89.18,86.63,88.16,游资:成交88.4/加速89.6/新高91.7/波换87.2; 机构:均线93.7/回撤91.7/持续89.3/稳定65.7,172.02,4.44,5291078356.0,0.14,158.24,150.2,130.05,32.53,29.92,115.03,0.0,6
20260622,688347,华虹宏力,87.8,87.59,87.72,游资:成交92.1/加速88.4/新高91.7/波换76.6; 机构:均线82.8/回撤91.7/持续85.5/稳定90.6,280.0,0.79,7087314404.0,0.06,259.06,239.8,234.54,28.22,23.35,56.42,0.0,7
20260622,300223,北京君正,88.38,86.14,87.48,游资:成交95.5/加速83.2/新高91.7/波换82.1; 机构:均线87.2/回撤91.7/持续92.7/稳定69.6,192.75,3.6,10182897904.0,0.13,175.36,162.6,155.85,32.38,38.31,39.27,0.0,8
20260622,300548,长芯博创,89.51,83.78,87.22,游资:成交93.7/加速86.3/新高91.7/波换85.8; 机构:均线85.4/回撤91.7/持续89.3/稳定63.9,298.09,5.71,8314695515.0,0.1,280.42,253.21,244.12,33.06,36.11,24.05,0.0,9
20260622,688525,佰维存储,82.86,89.82,87.04,游资:成交98.2/加速69.9/新高91.7/波换70.4; 机构:均线87.1/回撤91.7/持续92.7/稳定88.2,406.31,5.21,17090297175.0,0.09,368.59,340.58,328.85,23.91,30.65,30.12,0.0,10
20260622,600522,中天科技,82.9,89.66,86.96,游资:成交98.4/加速68.6/新高91.7/波换72.2; 机构:均线88.5/回撤91.7/持续92.7/稳定85.3,59.63,5.45,17763185299.0,0.09,55.32,52.87,47.66,22.7,29.43,36.08,0.0,11
20260622,300373,扬杰科技,88.15,84.59,86.73,游资:成交88.2/加速92.8/新高91.7/波换77.5; 机构:均线84.2/回撤91.7/持续85.5/稳定73.6,128.11,4.04,5119291340.0,0.07,115.86,107.89,105.92,32.51,24.54,48.31,0.0,12
20260622,600487,亨通光电,85.47,87.33,86.59,游资:成交99.0/加速78.5/新高91.7/波换69.4; 机构:均线91.7/回撤91.7/持续89.3/稳定72.2,120.13,8.22,21613245292.0,0.07,109.78,105.57,92.95,23.85,24.98,64.45,0.0,13
20260622,002138,顺络电子,83.81,88.31,86.51,游资:成交84.7/加速85.8/新高91.7/波换71.5; 机构:均线93.5/回撤91.7/持续92.7/稳定71.0,73.44,3.2,4243384972.0,0.08,66.74,62.07,55.46,30.77,32.06,69.61,0.0,14
20260622,300037,新宙邦,80.21,90.6,86.44,游资:成交80.5/加速80.4/新高91.7/波换68.0; 机构:均线81.8/回撤91.7/持续96.4/稳定96.5,89.99,8.04,3483250942.0,0.07,83.42,78.66,76.05,21.12,18.44,23.41,0.0,15
20260622,603663,三祥新材,75.28,93.51,86.22,游资:成交71.3/加速71.2/新高91.7/波换70.9; 机构:均线96.0/回撤91.7/持续98.2/稳定87.9,96.24,10.0,2547006671.0,0.06,84.34,77.67,69.94,32.56,47.45,90.61,0.0,16
20260622,603256,宏和科技,78.11,91.38,86.07,游资:成交87.1/加速72.6/新高91.7/波换59.3; 机构:均线89.4/回撤91.7/持续98.2/稳定87.1,263.01,2.02,4695723943.0,0.02,251.99,227.26,209.05,26.51,34.15,65.03,0.0,17
20260622,002384,东山精密,85.22,86.36,85.9,游资:成交99.6/加速83.4/新高81.3/波换70.2; 机构:均线82.3/回撤81.3/持续89.3/稳定97.1,270.55,-0.9,24335658471.0,0.07,257.77,236.71,227.79,24.36,22.19,22.67,0.91,18
20260622,300398,飞凯材料,85.79,85.72,85.76,游资:成交85.8/加速81.5/新高91.7/波换86.3; 机构:均线80.9/回撤91.7/持续92.7/稳定77.0,48.88,6.03,4523627461.0,0.16,46.1,44.25,41.51,21.65,18.55,28.7,0.0,19
20260622,000636,风华高科,86.0,84.97,85.59,游资:成交96.0/加速81.2/新高78.1/波换86.2; 机构:均线86.6/回撤78.1/持续92.7/稳定85.1,72.98,-2.17,11363639880.0,0.14,71.46,65.71,59.24,23.44,22.35,93.99,2.22,20
20260622,600183,生益科技,75.66,92.11,85.53,游资:成交98.3/加速57.9/新高91.7/波换52.3; 机构:均线87.5/回撤91.7/持续98.2/稳定93.6,184.5,0.34,17421782487.0,0.04,178.87,162.38,148.78,21.96,34.32,70.82,0.0,21
20260622,300408,三环集团,84.94,85.7,85.4,游资:成交96.8/加速87.0/新高80.7/波换68.3; 机构:均线77.2/回撤80.7/持续92.7/稳定99.0,156.11,-1.13,12176088774.0,0.04,153.99,142.4,135.45,23.41,15.78,35.75,1.14,22
20260622,000823,超声电子,81.3,87.66,85.12,游资:成交72.9/加速82.0/新高91.7/波换82.5; 机构:均线92.4/回撤91.7/持续99.6/稳定62.5,23.76,10.0,2704349980.0,0.2,21.53,19.86,18.27,30.12,34.92,44.97,0.0,23
20260622,688396,华润微,83.73,85.57,84.83,游资:成交83.3/加速92.5/新高91.7/波换63.1; 机构:均线77.0/回撤91.7/持续85.5/稳定89.3,78.2,6.26,3983299894.0,0.04,73.23,68.41,67.92,28.62,17.45,25.32,0.0,24
20260622,300308,中际旭创,82.1,86.5,84.74,游资:成交100.0/加速79.8/新高91.7/波换49.1; 机构:均线76.9/回撤91.7/持续85.5/稳定94.1,1382.33,1.06,38643675146.0,0.03,1303.88,1227.44,1199.89,20.31,17.15,33.18,0.0,25
20260622,000021,深科技,87.6,79.95,84.54,游资:成交94.3/加速85.6/新高91.7/波换76.5; 机构:均线79.7/回撤91.7/持续75.2/稳定67.5,46.68,5.99,8791270832.0,0.12,42.77,40.15,40.08,25.86,22.42,23.72,0.0,26
20260622,300196,长海股份,78.25,88.52,84.41,游资:成交54.8/加速81.1/新高91.7/波换95.6; 机构:均线89.9/回撤91.7/持续92.7/稳定77.4,32.99,10.48,1723120906.0,0.22,30.01,27.22,26.09,30.76,37.06,65.53,0.0,27
20260622,688808,联讯仪器,77.47,88.8,84.27,游资:成交72.8/加速79.3/新高91.7/波换67.5; 机构:均线83.7/回撤91.7/持续81.2/稳定99.6,2484.0,4.68,2702550841.0,0.06,2305.96,2257.3,2063.66,19.48,15.8,41.54,0.0,28
