date,code,name,momentum_score,trend_score,combined_score,reason,close,pct_chg,amount,turnover,ma5,ma10,ma20,pct_5d,pct_10d,pct_20d,distance_to_20d_high,rank
20260625,301013,利和兴,90.9,95.54,93.68,游资:成交80.4/加速97.1/新高90.4/波换97.9; 机构:均线96.9/回撤90.4/持续96.8/稳定100.0,84.91,13.29,4347648101.0,0.29,73.34,65.96,59.63,29.99,37.17,93.37,0.0,1
20260625,688525,佰维存储,89.35,92.15,91.03,游资:成交99.0/加速88.7/新高90.4/波换74.8; 机构:均线95.7/回撤90.4/持续96.8/稳定84.9,480.3,15.18,22470721326.0,0.1,415.86,378.19,345.91,29.81,51.51,51.52,0.0,2
20260625,600522,中天科技,88.05,92.94,90.98,游资:成交98.6/加速91.6/新高90.4/波换64.6; 机构:均线92.7/回撤90.4/持续96.8/稳定93.3,68.1,10.0,20865549415.0,0.09,61.58,56.62,51.13,24.02,35.66,74.39,0.0,3
20260625,603986,兆易创新,86.22,91.99,89.68,游资:成交99.7/加速79.7/新高90.4/波换71.6; 机构:均线96.8/回撤90.4/持续96.8/稳定82.5,775.21,9.94,38432771374.0,0.08,688.0,604.18,544.97,32.28,61.22,50.77,0.0,4
20260625,688347,华虹宏力,83.41,92.29,88.74,游资:成交91.3/加速82.7/新高90.4/波换65.7; 机构:均线92.0/回撤90.4/持续92.2/稳定95.7,330.36,4.54,8076831854.0,0.06,299.25,267.35,248.82,26.72,48.94,53.22,0.0,5
20260625,300398,飞凯材料,89.76,86.34,88.39,游资:成交87.0/加速93.4/新高90.4/波换87.8; 机构:均线89.8/回撤90.4/持续96.8/稳定64.7,56.66,3.58,5905627975.0,0.19,50.73,47.23,43.46,20.73,26.47,48.87,0.0,6
20260625,002491,通鼎互联,89.83,86.1,88.34,游资:成交90.9/加速90.1/新高90.4/波换87.3; 机构:均线96.2/回撤90.4/持续90.0/稳定60.6,38.5,3.91,7850118488.0,0.18,34.96,30.05,27.4,34.1,58.5,81.26,0.0,7
20260625,000021,深科技,89.03,86.59,88.05,游资:成交95.0/加速90.4/新高90.4/波换76.8; 机构:均线88.3/回撤90.4/持续86.5/稳定78.5,53.2,5.83,11922396830.0,0.14,47.98,43.92,41.14,23.98,37.97,20.96,0.0,8
20260625,001309,德明利,89.0,85.13,87.45,游资:成交97.6/加速89.5/新高90.4/波换73.9; 机构:均线91.9/回撤90.4/持续86.5/稳定65.8,891.0,10.0,17667610897.0,0.12,781.02,716.2,671.74,25.56,41.89,33.98,0.0,9
20260625,600487,亨通光电,85.66,88.01,87.07,游资:成交98.5/加速85.9/新高90.4/波换61.4; 机构:均线79.0/回撤90.4/持续94.5/稳定91.5,123.0,3.34,19622701344.0,0.07,118.09,110.77,100.34,10.81,15.08,79.07,0.0,10
20260625,688498,源杰科技,80.99,90.95,86.97,游资:成交90.6/加速79.6/新高90.4/波换59.2; 机构:均线85.6/回撤90.4/持续96.8/稳定94.0,1875.0,2.01,7483472680.0,0.03,1815.63,1661.59,1479.29,16.32,29.31,66.81,0.0,11
20260625,688521,芯原股份,86.54,86.87,86.74,游资:成交94.3/加速93.2/新高90.4/波换61.2; 机构:均线93.6/回撤90.4/持续81.6/稳定76.8,338.05,12.35,10695151523.0,0.06,296.39,267.85,251.54,31.3,47.93,33.91,0.0,12
20260625,600584,长电科技,88.4,84.16,86.7,游资:成交95.5/加速92.9/新高90.4/波换69.0; 机构:均线89.4/回撤90.4/持续74.5/稳定76.7,104.17,10.0,12320788002.0,0.07,91.86,83.32,80.32,27.41,40.68,20.9,0.0,13
20260625,002428,云南锗业,85.48,87.37,86.61,游资:成交95.4/加速72.8/新高90.4/波换84.8; 机构:均线94.4/回撤90.4/持续96.8/稳定62.9,130.1,5.7,12304264543.0,0.15,115.2,105.85,95.73,31.07,62.18,59.28,0.0,14
20260625,600105,永鼎股份,76.21,91.38,85.31,游资:成交93.6/加速54.5/新高90.4/波换68.6; 机构:均线89.1/回撤90.4/持续92.2/稳定95.5,72.96,6.14,9455293773.0,0.09,66.0,60.91,56.2,15.64,39.5,50.43,0.0,15
20260625,688268,华特气体,86.43,83.29,85.17,游资:成交70.4/加速99.4/新高90.4/波换87.1; 机构:均线90.9/回撤90.4/持续81.6/稳定62.9,251.99,6.09,3167782449.0,0.1,229.21,211.94,192.45,34.5,32.15,58.18,0.0,16
20260625,000725,京东方Ａ,83.67,85.04,84.49,游资:成交99.6/加速71.2/新高90.4/波换71.8; 机构:均线77.8/回撤90.4/持续86.5/稳定86.4,7.52,6.36,27560399329.0,0.1,6.97,6.5,6.18,12.07,24.71,31.47,0.0,17
20260625,603083,剑桥科技,85.83,82.46,84.48,游资:成交92.2/加速89.0/新高78.3/波换79.2; 机构:均线86.4/回撤78.3/持续81.6/稳定83.6,260.4,-0.69,8355674282.0,0.12,242.3,216.82,204.32,28.09,47.96,38.14,0.7,18
20260625,688143,长盈通,74.66,90.93,84.42,游资:成交41.2/加速99.2/新高90.4/波换72.4; 机构:均线89.5/回撤90.4/持续90.0/稳定94.8,240.7,1.91,1714508759.0,0.06,222.02,204.77,185.23,34.47,36.14,73.83,0.0,19
20260625,600703,三安光电,89.51,76.54,84.32,游资:成交97.1/加速92.3/新高78.6/波换84.8; 机构:均线86.3/回撤78.6/持续86.5/稳定48.8,21.67,-0.64,15052509291.0,0.14,20.03,17.86,17.01,26.28,39.18,30.46,0.65,20
20260625,300285,国瓷材料,79.04,87.36,84.03,游资:成交96.5/加速51.1/新高79.0/波换94.8; 机构:均线97.1/回撤79.0/持续92.2/稳定80.6,98.4,7.28,14738317242.0,0.18,93.87,79.73,69.3,25.35,60.97,101.1,0.51,21
20260625,601869,长飞光纤,84.44,82.2,83.54,游资:成交94.1/加速96.9/新高77.4/波换58.3; 机构:均线82.0/回撤77.4/持续90.0/稳定82.0,575.0,-0.86,10446669334.0,0.04,543.17,496.98,462.17,24.86,27.02,57.06,0.87,22
20260625,301308,江波龙,84.9,81.46,83.52,游资:成交97.8/加速79.9/新高90.4/波换67.7; 机构:均线80.0/回撤90.4/持续81.6/稳定70.1,677.3,9.25,18013871415.0,0.1,617.45,575.81,550.52,18.48,33.59,22.79,0.0,23
20260625,300835,龙磁科技,84.18,82.44,83.48,游资:成交61.0/加速99.0/新高90.4/波换90.5; 机构:均线84.9/回撤90.4/持续81.6/稳定67.7,253.15,1.94,2434649923.0,0.12,227.83,209.28,200.12,31.03,29.36,47.79,0.0,24
20260625,002409,雅克科技,80.75,85.27,83.46,游资:成交90.4/加速66.0/新高90.4/波换78.8; 机构:均线94.8/回撤90.4/持续96.8/稳定51.8,181.03,4.61,7310339535.0,0.13,165.35,151.91,132.14,22.38,47.72,52.88,0.0,25
20260625,300604,长川科技,78.17,86.73,83.31,游资:成交93.9/加速68.1/新高90.4/波换57.5; 机构:均线90.6/回撤90.4/持续92.2/稳定70.0,309.99,0.86,9958511376.0,0.07,285.87,262.12,237.32,17.42,36.72,40.78,0.0,26
20260625,603005,晶方科技,86.11,78.82,83.19,游资:成交89.4/加速83.9/新高90.4/波换80.2; 机构:均线62.0/回撤90.4/持续86.5/稳定79.0,50.0,0.75,6903918671.0,0.21,47.83,45.86,44.46,8.41,11.41,16.25,0.0,27
20260625,688507,索辰科技,81.16,84.45,83.13,游资:成交54.7/加速92.5/新高90.4/波换94.7; 机构:均线83.7/回撤90.4/持续74.5/稳定86.7,277.0,0.14,2168174712.0,0.16,261.81,250.92,221.47,13.53,13.52,48.13,0.0,28
20260625,688361,中科飞测,69.34,91.37,82.56,游资:成交64.4/加速74.4/新高90.4/波换48.2; 机构:均线96.5/回撤90.4/持续86.5/稳定90.0,332.0,6.29,2652300421.0,0.02,288.2,260.79,234.04,31.9,63.4,41.46,0.0,29
20260625,600176,中国巨石,71.95,89.58,82.53,游资:成交96.6/加速40.1/新高90.4/波换64.3; 机构:均线99.3/回撤90.4/持续98.3/稳定65.1,70.8,9.23,14876818902.0,0.05,61.29,53.91,46.46,29.67,79.83,79.1,0.0,30
20260625,300174,元力股份,74.34,87.97,82.52,游资:成交47.9/加速85.2/新高90.4/波换81.7; 机构:均线79.6/回撤90.4/持续92.2/稳定92.7,33.28,4.49,1908647651.0,0.15,30.38,28.02,27.09,18.98,31.8,41.02,0.0,31
20260625,301319,唯特偶,70.36,90.51,82.45,游资:成交63.8/加速55.1/新高90.4/波换83.0; 机构:均线96.1/回撤90.4/持续96.8/稳定76.1,202.68,1.09,2594788962.0,0.09,188.0,166.61,144.9,23.21,54.36,102.32,0.0,32
20260625,300567,精测电子,76.41,86.28,82.33,游资:成交70.0/加速82.4/新高90.4/波换63.1; 机构:均线87.7/回撤90.4/持续81.6/稳定82.7,263.0,4.73,3128365926.0,0.05,230.88,217.26,204.27,21.89,39.31,25.36,0.0,33
20260625,688048,长光华芯,83.79,80.01,82.28,游资:成交88.3/加速89.1/新高76.1/波换76.8; 机构:均线72.2/回撤76.1/持续81.6/稳定95.9,441.8,5.19,6504598678.0,0.08,411.46,386.02,376.03,18.92,29.18,22.61,0.0,34
20260625,300857,协创数据,81.21,82.58,82.03,游资:成交91.2/加速77.8/新高90.4/波换62.2; 机构:均线93.4/回撤90.4/持续81.6/稳定55.6,341.98,0.53,7977322027.0,0.05,316.65,277.09,255.23,28.09,53.89,39.0,0.0,35
20260625,002371,北方华创,73.68,87.43,81.93,游资:成交93.4/加速67.4/新高90.4/波换36.7; 机构:均线75.4/回撤90.4/持续90.0/稳定98.5,798.0,3.63,9454404907.0,0.02,756.32,714.49,664.69,13.32,28.88,21.87,0.0,36
20260625,002046,国机精工,85.25,76.49,81.75,游资:成交78.3/加速94.0/新高90.4/波换77.4; 机构:均线82.8/回撤90.4/持续74.5/稳定48.2,75.41,7.81,4071221151.0,0.1,68.26,64.55,60.44,21.61,27.42,46.12,0.0,37
20260625,300489,光智科技,66.17,91.41,81.31,游资:成交67.3/加速39.4/新高90.4/波换80.5; 机构:均线99.9/回撤90.4/持续98.8/稳定72.9,288.29,8.38,2969299254.0,0.08,252.59,222.34,180.72,34.71,90.76,147.08,0.0,38
20260625,688082,盛美上海,62.22,94.01,81.29,游资:成交72.1/加速34.3/新高90.4/波换61.2; 机构:均线95.4/回撤90.4/持续99.5/稳定91.9,412.97,2.68,3310083971.0,0.02,393.97,353.57,299.89,14.33,55.84,71.36,0.0,39
20260625,300475,香农芯创,76.1,84.48,81.13,游资:成交97.3/加速38.8/新高90.4/波换85.9; 机构:均线97.8/回撤90.4/持续92.2/稳定48.0,306.25,5.75,17008306161.0,0.12,284.41,244.57,210.03,24.85,71.87,58.91,0.0,40
20260625,000962,东方钽业,81.22,80.68,81.0,游资:成交70.2/加速90.9/新高90.4/波换74.0; 机构:均线94.3/回撤90.4/持续81.6/稳定44.8,84.02,10.0,3156119316.0,0.08,73.1,66.85,61.87,34.73,58.5,31.04,0.0,41
20260625,000636,风华高科,75.56,84.45,80.89,游资:成交94.7/加速41.7/新高90.4/波换82.9; 机构:均线82.1/回撤90.4/持续63.7/稳定99.9,79.62,10.0,11175159673.0,0.13,73.96,70.29,63.98,7.51,33.12,80.05,0.0,42
20260625,600226,亨通股份,81.95,79.04,80.79,游资:成交82.4/加速89.2/新高74.7/波换77.6; 机构:均线95.9/回撤74.7/持续100.0/稳定39.2,11.2,-1.84,4786148863.0,0.14,10.66,9.42,8.06,26.27,43.77,68.93,1.88,43
20260625,688072,拓荆科技,69.35,88.21,80.67,游资:成交87.8/加速49.8/新高90.4/波换49.9; 机构:均线81.0/回撤90.4/持续86.5/稳定97.5,823.0,0.37,6404284983.0,0.03,779.0,726.1,667.26,11.22,33.17,23.39,0.0,44
20260625,301526,国际复材,72.57,85.83,80.53,游资:成交91.8/加速30.1/新高90.4/波换89.6; 机构:均线99.7/回撤90.4/持续74.5/稳定69.5,47.88,6.45,8212473543.0,0.12,42.72,38.15,30.66,19.02,89.92,121.87,0.0,45
20260625,000783,长江证券,84.1,74.63,80.31,游资:成交84.4/加速94.4/新高90.4/波换62.0; 机构:均线83.8/回撤90.4/持续81.6/稳定30.3,10.15,9.97,5274211556.0,0.1,9.05,8.43,8.08,26.09,36.06,23.18,0.0,46
20260625,603618,杭电股份,69.97,86.88,80.12,游资:成交80.0/加速38.7/新高90.4/波换81.5; 机构:均线84.5/回撤90.4/持续94.5/稳定77.6,57.19,4.97,4283211504.0,0.11,54.27,49.31,45.24,10.55,43.33,59.75,0.0,47
20260625,600246,万通发展,82.17,76.86,80.05,游资:成交77.9/加速83.7/新高90.4/波换78.1; 机构:均线65.8/回撤90.4/持续74.5/稳定75.6,19.71,3.03,4011852522.0,0.11,18.49,17.74,17.25,11.93,18.52,28.99,0.0,48
20260625,300806,斯迪克,76.29,82.55,80.05,游资:成交77.6/加速59.5/新高90.4/波换85.4; 机构:均线94.0/回撤90.4/持续74.5/稳定61.7,117.88,17.77,3944076301.0,0.11,101.96,96.0,87.61,19.8,44.85,48.82,0.0,49
20260625,603938,三孚股份,82.12,76.72,79.96,游资:成交72.3/加速99.3/新高71.2/波换81.9; 机构:均线87.6/回撤71.2/持续86.5/稳定58.9,69.68,-2.72,3356776702.0,0.12,63.89,59.92,54.36,25.69,16.17,63.57,2.8,50
20260625,300346,南大光电,84.37,73.08,79.85,游资:成交91.5/加速87.8/新高70.4/波换82.5; 机构:均线78.5/回撤70.4/持续94.5/稳定47.6,74.72,-2.96,8160248938.0,0.16,71.77,67.52,61.27,14.37,21.06,32.91,3.05,51
20260625,603588,高能环境,78.46,80.7,79.8,游资:成交65.6/加速95.1/新高90.4/波换60.8; 机构:均线93.0/回撤90.4/持续94.5/稳定34.0,19.6,6.0,2820277726.0,0.1,17.99,16.21,14.7,26.37,35.45,55.56,0.0,52
20260625,688396,XD华润微,71.52,85.08,79.66,游资:成交75.4/加速65.5/新高90.4/波换55.9; 机构:均线75.3/回撤90.4/持续92.2/稳定84.8,84.72,0.07,3651142984.0,0.03,80.39,74.02,70.6,14.83,32.73,28.4,0.0,53
20260625,688630,芯碁微装,64.8,89.42,79.57,游资:成交66.6/加速48.6/新高90.4/波换60.8; 机构:均线91.8/回撤90.4/持续74.5/稳定99.4,555.5,8.1,2925499853.0,0.04,504.45,468.77,418.6,16.76,45.04,96.29,0.0,54
20260625,002536,飞龙股份,80.5,78.01,79.5,游资:成交73.7/加速84.6/新高90.4/波换74.6; 机构:均线77.6/回撤90.4/持续81.6/稳定56.4,51.89,4.85,3497944421.0,0.12,47.03,45.23,42.69,16.01,25.95,26.68,0.0,55
20260625,688627,精智达,62.78,90.51,79.42,游资:成交67.2/加速37.7/新高90.4/波换66.3; 机构:均线96.4/回撤90.4/持续94.5/稳定78.0,639.0,0.16,2949390845.0,0.06,591.64,529.35,453.5,17.84,58.56,65.62,0.0,56
20260625,688110,东芯股份,74.49,82.69,79.41,游资:成交87.6/加速58.2/新高90.4/波换63.4; 机构:均线86.7/回撤90.4/持续81.6/稳定66.2,179.45,4.5,6099451458.0,0.08,165.33,150.72,140.56,17.36,40.67,21.25,0.0,57
